ID,Categoria,Nivel,Pregunta,Respuesta_Esperada,Respuesta_Obtenida,Fuentes,Num_Fuentes,No_Tiene_Info,Exactitud,Cobertura,Claridad,Citas,Alucinacion,Seguridad,Score_R,Timestamp
Q011,conceptos_basicos,basico,"¿Qué se entiende por inteligencia artificial en el contexto computacional?","Es el campo de estudio que busca crear sistemas capaces de realizar tareas que normalmente requieren inteligencia humana. Incluye técnicas para percibir, razonar, aprender y tomar decisiones basadas en datos.","En el contexto computacional, la inteligencia artificial se refiere a la capacidad de los agentes inteligentes para generar comportamientos interpretables por los humanos. Se destaca la importancia de la interpretabilidad en el diseño de agentes de IA con conciencia humana, donde se busca que el observador pueda comprender los objetivos, planes o recompensas atribuidas al agente a partir de sus observaciones. Este enfoque busca superar los desafíos de la interpretabilidad en el diseño de agentes","doc_004_AI_Cognitive_Models.pdf",1,false,0.226,0.533,1,1,0,1,0.486,2025-11-23T23:01:09.639Z
Q012,historia,intermedio,"¿Cuál fue el impacto de la Conferencia de Dartmouth en el desarrollo de la IA?","La Conferencia de Dartmouth de 1956 marcó el inicio formal de la IA como disciplina académica. Reunió a investigadores clave y estableció una agenda para explorar máquinas capaces de simular la inteligencia humana.","La Conferencia de Dartmouth, celebrada en 1956, tuvo un impacto significativo en el desarrollo de la Inteligencia Artificial (IA). En esta conferencia pionera, se sentaron las bases y se establecieron los objetivos iniciales para la investigación en IA. Uno de los resultados más importantes de la Conferencia de Dartmouth fue la definición del campo de estudio de la IA y la formulación de las primeras ideas sobre cómo simular el pensamiento humano a través de máquinas.  Los participantes de la co","",0,true,0.606,1,1,0.3,0.5,1,0.522,2025-11-23T23:01:09.639Z
Q013,ml_clasico,intermedio,"¿En qué consiste la regresión logística y para qué tipo de problemas se utiliza?","La regresión logística es un modelo estadístico que estima la probabilidad de pertenencia a una clase binaria usando una función sigmoide. Se emplea ampliamente en tareas de clasificación como detección de spam o diagnóstico médico.","La regresión logística es un algoritmo de aprendizaje supervisado utilizado en problemas de clasificación. Aunque su nombre incluye la palabra ""regresión"", en realidad se emplea para predecir la probabilidad de que una observación pertenezca a una determinada categoría.   En la regresión logística, se ajusta una curva logística a los datos para modelar la relación entre las variables independientes y la variable dependiente categórica. Esta curva logística se utiliza para estimar la probabilid","doc_004_AI_Cognitive_Models.pdf, doc_013_Fusion_Alertas_Ontologias.pdf",2,false,0.661,1,0.9,1,0,1,0.716,2025-11-23T23:01:09.640Z
Q014,deep_learning_llms,intermedio,"¿Qué ventaja principal introdujo la arquitectura Transformer en comparación con las redes recurrentes?","Los Transformers permiten procesar secuencias completas en paralelo mediante mecanismos de atención, eliminando la dependencia estricta del orden secuencial. Esto mejora la eficiencia computacional y capta mejor relaciones de largo alcance.","La arquitectura Transformer introdujo una ventaja principal significativa en comparación con las redes recurrentes, especialmente en el procesamiento de secuencias largas. La principal ventaja radica en su capacidad para capturar dependencias a largo plazo de manera más efectiva que las redes recurrentes.  En las redes recurrentes, como las LSTM (Long Short-Term Memory) y las GRU (Gated Recurrent Unit), la información se propaga a través de conexiones recurrentes a lo largo de la secuencia. Sin ","doc_004_AI_Cognitive_Models.pdf",1,false,0.65,1,1,1,0,1,0.728,2025-11-23T23:01:09.640Z
Q015,etica_regulacion,avanzado,"¿Por qué el sesgo algorítmico es un riesgo crítico en sistemas de IA utilizados para decisiones públicas?","El sesgo algorítmico puede amplificar desigualdades existentes cuando se usan datos históricos no representativos o discriminatorios. En decisiones públicas, esto afecta la equidad y puede vulnerar derechos fundamentales.","El sesgo algorítmico es un riesgo crítico en sistemas de IA utilizados para decisiones públicas debido a varios factores. En primer lugar, el sesgo puede surgir en los datos utilizados para entrenar los algoritmos, lo que puede llevar a decisiones discriminatorias o injustas. Los algoritmos de IA aprenden de conjuntos de datos históricos que pueden reflejar sesgos existentes en la sociedad, como discriminación racial o de género, y perpetuarlos en las decisiones automatizadas.  Además, la opacid","doc_004_AI_Cognitive_Models.pdf",1,false,0.511,1,1,1,0,0,0.729,2025-11-23T23:01:09.641Z
Q016,aplicaciones,basico,"¿Cómo se utiliza la IA en los sistemas de recomendación?","Estos sistemas analizan patrones de comportamiento y preferencias del usuario para sugerir contenidos relevantes. Emplean técnicas de filtrado colaborativo y modelos predictivos para mejorar la personalización.","Los sistemas de recomendación utilizan Inteligencia Artificial (IA) para analizar datos y proporcionar recomendaciones personalizadas a los usuarios. En un artículo titulado ""Aproximación desde la Inteligencia Artificial a los comportamientos poco predictivos derivados de modelos cognitivos artificiales"", se menciona que la IA se utiliza en el desarrollo de algoritmos que generen comportamientos interpretables para los agentes inteligentes. La interpretabilidad en este contexto se refiere a la","doc_004_AI_Cognitive_Models.pdf",1,false,0.306,1,1,1,0,1,0.607,2025-11-23T23:01:09.641Z
Q017,conceptos_basicos,intermedio,"¿Qué diferencia al aprendizaje supervisado del no supervisado?","El aprendizaje supervisado utiliza datos etiquetados para entrenar modelos que predicen valores o clases específicas. El no supervisado busca patrones o estructuras ocultas en datos sin etiquetar, como agrupamientos.","El aprendizaje supervisado y el no supervisado son dos enfoques fundamentales en el campo del machine learning que se diferencian en la forma en que se realiza el entrenamiento de los modelos:  1. **Aprendizaje Supervisado**:    - En el aprendizaje supervisado, el modelo recibe ejemplos etiquetados como entrada durante el proceso de entrenamiento. Estos ejemplos consisten en pares de entrada y salida esperada, lo que permite al modelo aprender a mapear las entradas a las salidas.    - El objetiv","doc_004_AI_Cognitive_Models.pdf, doc_013_Fusion_Alertas_Ontologias.pdf",2,false,0.832,0.65,0.9,1,0,1,0.706,2025-11-23T23:01:09.641Z
Q018,ml_clasico,avanzado,"¿Qué papel juega el margen en los modelos SVM y por qué es relevante?","El margen es la distancia entre el hiperplano de separación y los puntos más cercanos de cada clase. Maximizarlo mejora la capacidad de generalización y reduce la sensibilidad al ruido del modelo.","El margen en los modelos de Máquinas de Vectores de Soporte (SVM) juega un papel crucial en la clasificación de datos. El margen se refiere a la distancia entre el hiperplano de separación y los puntos de datos más cercanos de cada clase. Es relevante en SVM porque ayuda a determinar la capacidad del modelo para generalizar y clasificar correctamente nuevos datos.  En SVM, el objetivo es encontrar el hiperplano de separación que maximice el margen entre las clases. Un margen más amplio indica un","doc_015_Processes_AI_Industrial.pdf",1,false,0.9,1,0.9,1,0,1,0.8,2025-11-23T23:01:09.641Z
Q019,deep_learning_llms,avanzado,"¿Por qué los modelos de lenguaje a gran escala pueden presentar alucinaciones en sus respuestas?","Estas alucinaciones surgen cuando el modelo genera información plausible pero incorrecta debido a patrones estadísticos aprendidos sin comprensión semántica real. También se relacionan con datos incompletos, sesgos y la naturaleza probabilística de la generación.","Los modelos de lenguaje a gran escala pueden presentar alucinaciones en sus respuestas debido a comportamientos poco predictivos derivados de modelos cognitivos artificiales. En un estudio realizado se menciona que al desarrollar modelos comportamentales con arquitecturas disímiles, como la arquitectura cognitiva SOAR, se pueden observar alucinaciones en las respuestas. Estas alucinaciones pueden surgir en situaciones donde los modelos no logran predecir de manera precisa las acciones de un agen","doc_004_AI_Cognitive_Models.pdf",1,false,0.439,0.65,1,1,0,1,0.584,2025-11-23T23:01:09.641Z
Q020,aplicaciones,intermedio,"¿Cómo puede la IA apoyar el diagnóstico médico asistido?","Los modelos de IA analizan imágenes, registros clínicos y patrones de síntomas para ayudar a identificar posibles enfermedades. Funcionan como herramientas de apoyo que aumentan la precisión y rapidez del diagnóstico, pero no sustituyen el criterio clínico.","La Inteligencia Artificial (IA) puede apoyar el diagnóstico médico de diversas formas, incluyendo el análisis de datos de pacientes para identificar similitudes y diferencias, la personalización del monitoreo de pacientes con trastornos mentales mediante la minería de datos, y la predicción de datos médicos y eventos para pacientes con enfermedades crónicas en entornos hospitalarios y domiciliarios. Estas aplicaciones de IA utilizan herramientas de minería de datos para mejorar la precisión en e","",0,true,0.395,0.533,1,0.3,0.5,1,0.355,2025-11-23T23:01:09.641Z
Q021,conceptos_basicos,basico,"¿Qué es un agente inteligente en IA?","Es una entidad que percibe su entorno mediante sensores y actúa sobre él mediante actuadores. Su objetivo es seleccionar acciones que maximicen su desempeño según una medida definida.","Un agente inteligente en Inteligencia Artificial (IA) es un sistema diseñado para percibir su entorno, tomar acciones autónomas para lograr objetivos y mejorar su rendimiento a través del aprendizaje y la adquisición de conocimiento. Estos agentes son utilizados en diversas tareas de toma de decisiones en campos como videojuegos, conducción autónoma y sistemas de IoT, entre otros.  Según la literatura consultada, se destaca que la interpretabilidad es un desafío importante en el diseño de agente","",0,true,0.544,1,1,0.3,0.5,1,0.5,2025-11-23T23:01:09.641Z
Q022,historia,intermedio,"¿Qué aportó Alan Turing al desarrollo de la inteligencia artificial?","Turing propuso el modelo computacional que fundamenta el concepto de algoritmo y la idea de una máquina universal. También formuló la Prueba de Turing como criterio para evaluar el comportamiento inteligente en máquinas.","Alan Turing realizó una contribución fundamental al desarrollo de la inteligencia artificial a través de su concepto de la ""Máquina de Turing"". Este concepto es la base teórica de la computación moderna y sentó los cimientos para la creación de algoritmos y programas que imitan la inteligencia humana.  La Máquina de Turing es un modelo abstracto de un dispositivo que manipula símbolos en una cinta de acuerdo con reglas específicas. Este concepto permitió demostrar que cualquier problema matemá","",0,true,0.739,1,0.9,0.3,0.5,1,0.554,2025-11-23T23:01:09.642Z
Q023,ml_clasico,basico,"¿Qué es un árbol de decisión y para qué se utiliza?","Es un modelo que divide iterativamente el espacio de datos mediante reglas simples para realizar clasificación o regresión. Su estructura jerárquica facilita la interpretación y el análisis de decisiones.","Un árbol de decisión es una técnica de modelado predictivo utilizada en el campo de la Inteligencia Artificial. Se utiliza para representar y visualizar decisiones y sus posibles consecuencias en forma de un árbol. Cada nodo interno del árbol representa una característica (atributo), cada rama representa una decisión basada en esa característica, y cada hoja representa el resultado de la decisión.   Los árboles de decisión son ampliamente utilizados en diversas áreas, como la clasificación y la ","doc_004_AI_Cognitive_Models.pdf, doc_016_Constitucion_Colombia_2024.pdf",2,false,0.662,1,0.9,1,0,1,0.717,2025-11-23T23:01:09.642Z
Q024,deep_learning_llms,intermedio,"¿Qué papel cumplen las funciones de activación en una red neuronal profunda?","Permiten introducir no linealidad en las capas, lo que habilita a la red para aprender representaciones complejas. Activaciones como ReLU o tanh ayudan a controlar gradientes y mejorar la estabilidad del entrenamiento.","Las funciones de activación desempeñan un papel fundamental en una red neuronal profunda al introducir no linealidades en el modelo, permitiendo a la red aprender y modelar relaciones complejas en los datos. En el proceso de entrenamiento de una red neuronal profunda, las funciones de activación son aplicadas a la salida de cada neurona, determinando si y en qué medida la neurona debe activarse. Esto es crucial para la capacidad de la red para aprender y generalizar patrones en los datos de entr","doc_004_AI_Cognitive_Models.pdf",1,false,0.733,1,1,1,0,1,0.757,2025-11-23T23:01:09.642Z
Q025,etica_regulacion,intermedio,"¿Por qué es importante la transparencia en los sistemas de IA?","La transparencia facilita comprender cómo un sistema llega a sus decisiones, lo que mejora la confianza y la rendición de cuentas. Además, permite detectar errores, sesgos y riesgos de impacto social.","La transparencia en los sistemas de Inteligencia Artificial (IA) es fundamental por varias razones. En primer lugar, la falta de transparencia en los sistemas basados en IA puede ser un obstáculo significativo para su uso. Por esta razón, se ha aplicado la Inteligencia Artificial Explicable (XAI) para hacer que estos sistemas sean comprensibles y transparentes para los usuarios. La transparencia es clave para garantizar la confianza en los sistemas de IA y para permitir que los usuarios comprend","",0,true,0.544,1,0.9,0.3,0.5,0,0.536,2025-11-23T23:01:09.642Z
Q026,aplicaciones,avanzado,"¿Cómo puede la IA optimizar procesos en cadenas de suministro?","Modelos predictivos anticipan demanda, ajustan inventarios y mejoran decisiones logísticas en tiempo real. Esto reduce costos, incrementa eficiencia y permite adaptarse rápidamente a condiciones cambiantes.","La Inteligencia Artificial (IA) puede optimizar procesos en cadenas de suministro de diversas formas. Una de las aplicaciones clave es la gestión de inventarios, donde la IA puede predecir la demanda futura y optimizar los niveles de inventario para minimizar costos y evitar escasez o exceso de productos. Además, la IA puede mejorar la planificación logística al optimizar rutas de transporte, tiempos de entrega y asignación de recursos.  En el contexto de la correlación de alertas en sistemas de","doc_004_AI_Cognitive_Models.pdf, doc_013_Fusion_Alertas_Ontologias.pdf",2,false,0.447,1,1,1,0,1,0.657,2025-11-23T23:01:09.642Z
Q027,conceptos_basicos,intermedio,"¿Qué es el espacio de búsqueda en un problema de IA?","Es el conjunto de todos los estados posibles que puede adoptar un sistema al intentar resolver una tarea. Definir y explorar eficazmente este espacio es esencial para algoritmos como búsqueda heurística.","El espacio de búsqueda en un problema de Inteligencia Artificial se refiere al conjunto de posibles estados y acciones que un agente puede explorar para encontrar una solución óptima. En el desarrollo de algoritmos para generar el comportamiento de agentes inteligentes, es fundamental considerar el espacio de búsqueda para garantizar que el agente pueda tomar decisiones efectivas y alcanzar sus objetivos de manera eficiente.  Según un artículo académico, en la comunidad de la robótica y la plani","Aproximación desde la Inteligencia Artificial a los comportamientos poco predictivos derivados de modelos cognitivos artificiales (doc_004_AI_Cognitive_Models.pdf)",1,false,0.5,1,1,1,0,1,0.675,2025-11-23T23:01:09.642Z
Q028,historia,avanzado,"¿Cuál fue la relevancia del perceptrón en los primeros desarrollos del aprendizaje automático?","El perceptrón introdujo un modelo formal para el aprendizaje lineal y despertó un gran entusiasmo inicial por las redes neuronales. Sin embargo, sus limitaciones teóricas llevaron a un estancamiento temporal, que más tarde se superó con técnicas de entrenamiento profundo.","El perceptrón fue de gran relevancia en los primeros desarrollos del aprendizaje automático. Se considera como uno de los primeros modelos de neurona artificial y sentó las bases para el desarrollo de redes neuronales más complejas. En la actualidad, el perceptrón simple ha evolucionado hacia redes neuronales más sofisticadas, como las redes neuronales convolucionales (CNN) utilizadas en el Deep Learning.  El trabajo futuro en este campo incluye la incorporación de redes neuronales convolucional","doc_004_AI_Cognitive_Models.pdf, doc_005_Teoria_Mente_Corporizada.pdf",2,false,0.409,0.767,1,1,0,1,0.597,2025-11-23T23:01:09.643Z
Q029,ml_clasico,intermedio,"¿Para qué se utiliza el algoritmo k-means y cómo funciona a nivel general?","k-means agrupa datos en k clústeres asignando cada punto al centro más cercano y ajustando estos centros iterativamente. Es un método eficiente para revelar estructuras internas en datos no etiquetados.","El algoritmo K-means se utiliza para detectar clusters en un conjunto de elementos de muestra, permitiendo la clasificación de estos elementos en grupos basados en similitudes y diferencias. Funciona como un método de aprendizaje no supervisado que busca minimizar la función objetivo, que en este caso es la distancia interna entre los elementos, es decir, la cercanía hacia los vectores de características comunes.  A nivel general, el algoritmo K-means opera de la siguiente manera: 1. Se iniciali","doc_013_Fusion_Alertas_Ontologias.pdf",1,false,0.297,1,1,1,0,1,0.604,2025-11-23T23:01:09.643Z
Q030,deep_learning_llms,avanzado,"¿Qué son los embeddings y por qué son esenciales en el procesamiento del lenguaje natural?","Los embeddings representan palabras o tokens como vectores densos que capturan relaciones semánticas y sintácticas. Permiten a los modelos operar en un espacio continuo donde similitudes lingüísticas pueden aprenderse y explotarse.","Los embeddings son representaciones vectoriales de palabras o frases que capturan el significado semántico y contextual de las mismas. Son esenciales en el procesamiento del lenguaje natural debido a varias razones:  1. **Representación Semántica**: Los embeddings permiten representar palabras en un espacio vectorial donde palabras similares en significado están cercanas entre sí. Esto facilita tareas como la búsqueda de sinónimos, detección de analogías y clustering de palabras relacionadas.  2","doc_004_AI_Cognitive_Models.pdf, doc_005_Teoria_Mente_Corporizada.pdf",2,false,0.529,1,1,1,0,1,0.685,2025-11-23T23:01:09.643Z
Q031,conceptos_basicos,basico,"¿Qué es un sistema experto en inteligencia artificial?","Es un programa diseñado para imitar la toma de decisiones de un especialista humano en un dominio específico. Utiliza una base de conocimientos y un motor de inferencia para resolver problemas complejos.","Un sistema experto en inteligencia artificial es un tipo de sistema informático diseñado para imitar el comportamiento y la toma de decisiones de un experto humano en un dominio específico. Estos sistemas utilizan bases de conocimiento, reglas de inferencia y mecanismos de razonamiento para resolver problemas complejos en un área particular. Según Chakraborti et al. (2019), en el desarrollo de algoritmos para generar el comportamiento de agentes inteligentes, se busca que este sea interpretable ","doc_004_AI_Cognitive_Models.pdf, doc_011_Electronics_AI_Apps.pdf",2,false,0.493,1,1,1,0,1,0.673,2025-11-23T23:01:09.644Z
Q032,historia,intermedio,"¿Qué ocurrió durante el primer 'invierno de la IA'?","El primer invierno de la IA fue un periodo de recortes de financiamiento y desinterés debido a expectativas no cumplidas. Las limitaciones técnicas y el escepticismo frenaron el avance del campo durante varios años.","Durante el primer 'invierno de la IA', se observó un interés significativo en la comunidad de la robótica y la planificación en el desarrollo de algoritmos que puedan generar comportamientos de agentes interpretables para los humanos. Este interés se centró en la creación de agentes inteligentes cuyas acciones y decisiones pudieran ser comprendidas por los observadores humanos a lo largo de su ciclo de vida. La noción de interpretabilidad se refiere a la capacidad de los agentes de IA para actua","doc_004_AI_Cognitive_Models.pdf, p. 18-31",1,false,0.418,1,1,1,0,1,0.646,2025-11-23T23:01:09.644Z
Q033,ml_clasico,intermedio,"¿Qué es la validación cruzada y por qué se utiliza?","Es una técnica que divide los datos en subconjuntos para entrenar y evaluar un modelo múltiples veces. Permite estimar su desempeño general y reducir el riesgo de sobreajuste.","La validación cruzada es una técnica utilizada en machine learning para evaluar el rendimiento de un modelo predictivo. Consiste en dividir el conjunto de datos en subconjuntos de entrenamiento y prueba de manera repetida, ajustando el modelo en cada iteración y evaluando su desempeño. Esta técnica es fundamental para estimar cómo se comportará el modelo con datos no vistos, evitando problemas de sobreajuste y subajuste.  La validación cruzada se utiliza para abordar la necesidad de evaluar la c","doc_013_Fusion_Alertas_Ontologias.pdf",1,false,0.9,1,1,1,0,1,0.815,2025-11-23T23:01:09.644Z
Q034,deep_learning_llms,intermedio,"¿Cuál es la función del mecanismo de atención en una red neuronal?","El mecanismo de atención permite ponderar la relevancia de distintas partes de una entrada al generar una salida. Esto mejora la capacidad del modelo para capturar dependencias complejas y relaciones a largo plazo.","El mecanismo de atención en una red neuronal es fundamental para asignar diferentes pesos a las entradas en función de su relevancia para la tarea en cuestión. Este mecanismo permite a la red enfocarse en partes específicas de la entrada, lo que mejora la eficiencia y efectividad del proceso de aprendizaje y predicción.  Según la literatura consultada, una posibilidad para trabajar con modelos que incorporan mecanismos de atención es mediante la utilización de redes neuronales convolucionales (C","doc_004_AI_Cognitive_Models.pdf",1,false,0.339,1,1,1,0,1,0.619,2025-11-23T23:01:09.644Z
Q035,etica_regulacion,avanzado,"¿Qué desafíos presenta la responsabilidad legal en sistemas autónomos?","Los sistemas autónomos complican la atribución de responsabilidad cuando ocurren fallos o daños, ya que intervienen múltiples actores. Esto exige marcos regulatorios claros que definan obligaciones y niveles de supervisión.","La responsabilidad legal en sistemas autónomos presenta diversos desafíos que deben abordarse para garantizar su correcto funcionamiento y mitigar posibles riesgos. Algunos de los desafíos más relevantes incluyen:  1. **Asignación de Responsabilidad**: Determinar quién es responsable en caso de que un sistema autónomo cause daños o cometa errores es un desafío crucial. La falta de claridad en la asignación de responsabilidades puede generar conflictos legales y dificultar la compensación a las p","",0,true,0.33,1,1,0.3,0.8,1,0.396,2025-11-23T23:01:09.644Z
Q036,aplicaciones,basico,"¿Cómo se aplica la IA en el análisis de imágenes médicas?","La IA detecta patrones en imágenes como radiografías o resonancias para identificar posibles anomalías. Esto ayuda a apoyar diagnósticos tempranos y aumentar la precisión clínica.","El análisis de imágenes médicas con Inteligencia Artificial (IA) es una aplicación crucial en el campo de la salud. Algunas de las formas en las que se aplica la IA en este contexto incluyen:  1. **Diagnóstico de Enfermedades**: La IA se utiliza para analizar imágenes médicas, como resonancias magnéticas, radiografías y tomografías computarizadas, para ayudar en el diagnóstico de enfermedades. Por ejemplo, se han evaluado diversas técnicas de clasificación de aprendizaje automático para el diagn","",0,true,0.84,1,1,0.3,0.5,0,0.654,2025-11-23T23:01:09.644Z
Q037,conceptos_basicos,intermedio,"¿Qué diferencia existe entre un problema determinista y uno estocástico en IA?","En un problema determinista las acciones producen resultados predecibles, mientras que en uno estocástico existe incertidumbre en los efectos de las acciones. Esta diferencia condiciona los métodos de planificación y toma de decisiones.","En el contexto de la Inteligencia Artificial, la diferencia entre un problema determinista y uno estocástico radica en la naturaleza de la salida o resultado esperado ante una determinada entrada.   - **Problema Determinista**: En los problemas deterministas, la salida o resultado es predecible y único para cada entrada dada. Esto significa que, dada una entrada específica, el resultado siempre será el mismo. Las técnicas reactivas, que son deterministas, ofrecen la ventaja de conocer la salida ","doc_004_AI_Cognitive_Models.pdf",1,false,0.591,1,0.9,1,0,1,0.692,2025-11-23T23:01:09.644Z
